title,category,category_code,summary,summary_word_count
Kalman Filters and Homography: Utilizing the Matrix $A$,Computer Vision and Pattern Recognition,cs.CV,"Many problems in Computer Vision can be reduced to either working around a
known transform, or given a model for the transform computing the inverse
problem of the transform itself. We will look at two ways of working with the
matrix $A$ and see how transforms are at the root of image processing and
vision problems.",56
"LABNet: Local Graph Aggregation Network with Class Balanced Loss for
  Vehicle Re-Identification",Computer Vision and Pattern Recognition,cs.CV,"Vehicle re-identification is an important computer vision task where the
objective is to identify a specific vehicle among a set of vehicles seen at
various viewpoints. Recent methods based on deep learning utilize a global
average pooling layer after the backbone feature extractor, however, this
ignores any spatial reasoning on the feature map. In this paper, we propose
local graph aggregation on the backbone feature map, to learn associations of
local information and hence improve feature learning as well as reduce the
effects of partial occlusion and background clutter. Our local graph
aggregation network considers spatial regions of the feature map as nodes and
builds a local neighborhood graph that performs local feature aggregation
before the global average pooling layer. We further utilize a batch
normalization layer to improve the system effectiveness. Additionally, we
introduce a class balanced loss to compensate for the imbalance in the sample
distributions found in the most widely used vehicle re-identification datasets.
Finally, we evaluate our method in three popular benchmarks and show that our
approach outperforms many state-of-the-art methods.",175
"Road Curb Detection and Localization with Monocular Forward-view Vehicle
  Camera",Computer Vision and Pattern Recognition,cs.CV,"We propose a robust method for estimating road curb 3D parameters (size,
location, orientation) using a calibrated monocular camera equipped with a
fisheye lens. Automatic curb detection and localization is particularly
important in the context of Advanced Driver Assistance System (ADAS), i.e. to
prevent possible collision and damage of the vehicle's bumper during
perpendicular and diagonal parking maneuvers. Combining 3D geometric reasoning
with advanced vision-based detection methods, our approach is able to estimate
the vehicle to curb distance in real time with mean accuracy of more than 90%,
as well as its orientation, height and depth.
  Our approach consists of two distinct components - curb detection in each
individual video frame and temporal analysis. The first part comprises of
sophisticated curb edges extraction and parametrized 3D curb template fitting.
Using a few assumptions regarding the real world geometry, we can thus retrieve
the curb's height and its relative position w.r.t. the moving vehicle on which
the camera is mounted. Support Vector Machine (SVM) classifier fed with
Histograms of Oriented Gradients (HOG) is used for appearance-based filtering
out outliers. In the second part, the detected curb regions are tracked in the
temporal domain, so as to perform a second pass of false positives rejection.
  We have validated our approach on a newly collected database of 11 videos
under different conditions. We have used point-wise LIDAR measurements and
manual exhaustive labels as a ground truth.",233
"Joint Learning Content and Degradation Aware Feature for Blind
  Super-Resolution",Computer Vision and Pattern Recognition,cs.CV,"To achieve promising results on blind image super-resolution (SR), some
attempts leveraged the low resolution (LR) images to predict the kernel and
improve the SR performance. However, these Supervised Kernel Prediction (SKP)
methods are impractical due to the unavailable real-world blur kernels.
Although some Unsupervised Degradation Prediction (UDP) methods are proposed to
bypass this problem, the \textit{inconsistency} between degradation embedding
and SR feature is still challenging. By exploring the correlations between
degradation embedding and SR feature, we observe that jointly learning the
content and degradation aware feature is optimal. Based on this observation, a
Content and Degradation aware SR Network dubbed CDSR is proposed. Specifically,
CDSR contains three newly-established modules: (1) a Lightweight Patch-based
Encoder (LPE) is applied to jointly extract content and degradation features;
(2) a Domain Query Attention based module (DQA) is employed to adaptively
reduce the inconsistency; (3) a Codebook-based Space Compress module (CSC) that
can suppress the redundant information. Extensive experiments on several
benchmarks demonstrate that the proposed CDSR outperforms the existing UDP
models and achieves competitive performance on PSNR and SSIM even compared with
the state-of-the-art SKP methods.",183
"A multiagent based framework secured with layered SVM-based IDS for
  remote healthcare systems",Cryptography and Security,cs.CR,"Since the number of elderly and patients who are in hospitals and healthcare
centers are growing, providing efficient remote healthcare services seems very
important. Currently, most such systems benefit from the distribution and
autonomy features of multiagent systems and the structure of wireless sensor
networks. On the one hand, securing the data of remote healthcare systems is
one of the most significant concerns; particularly recent types of research
about the security of remote healthcare systems keep them secure from
eavesdropping and data modification. On the other hand, existing remote
healthcare systems are still vulnerable against other common attacks of
healthcare networks such as Denial of Service (DoS) and User to Root (U2R)
attacks, because they are managed remotely and based on the Internet.
Therefore, in this paper, we propose a secure framework for remote healthcare
systems that consists of two phases. First, we design a healthcare system base
on multiagent technology to collect data from a sensor network. Then, in the
second phase, a layered architecture of intrusion detection systems that uses
Support Vector Machine to learn the behavior of network traffic is applied.
Based on our framework, we implement a secure remote healthcare system and
evaluate this system against the frequent attacks of healthcare networks such
as Smurf, Buffer overflow, Neptune, and Pod attacks. In the end, evaluation
parameters of the layered architecture of intrusion detection systems prove the
efficiency and correctness of our proposed framework.",237
One-way Hash Function Based on Neural Network,Cryptography and Security,cs.CR,"A hash function is constructed based on a three-layer neural network. The
three neuron-layers are used to realize data confusion, diffusion and
compression respectively, and the multi-block hash mode is presented to support
the plaintext with variable length. Theoretical analysis and experimental
results show that this hash function is one-way, with high key sensitivity and
plaintext sensitivity, and secure against birthday attacks or
meet-in-the-middle attacks. Additionally, the neural network's property makes
it practical to realize in a parallel way. These properties make it a suitable
choice for data signature or authentication.",91
"Spiking-Fer: Spiking Neural Network for Facial Expression Recognition
  With Event Cameras",Computer Vision and Pattern Recognition,cs.CV,"Facial Expression Recognition (FER) is an active research domain that has
shown great progress recently, notably thanks to the use of large deep learning
models. However, such approaches are particularly energy intensive, which makes
their deployment difficult for edge devices. To address this issue, Spiking
Neural Networks (SNNs) coupled with event cameras are a promising alternative,
capable of processing sparse and asynchronous events with lower energy
consumption. In this paper, we establish the first use of event cameras for
FER, named ""Event-based FER"", and propose the first related benchmarks by
converting popular video FER datasets to event streams. To deal with this new
task, we propose ""Spiking-FER"", a deep convolutional SNN model, and compare it
against a similar Artificial Neural Network (ANN). Experiments show that the
proposed approach achieves comparable performance to the ANN architecture,
while consuming less energy by orders of magnitude (up to 65.39x). In addition,
an experimental study of various event-based data augmentation techniques is
performed to provide insights into the efficient transformations specific to
event-based FER.",170
"The Road to a Successful HRI: AI, Trust and ethicS-TRAITS",Robotics,cs.RO,"The aim of this workshop is to foster the exchange of insights on past and
ongoing research towards effective and long-lasting collaborations between
humans and robots. This workshop will provide a forum for representatives from
academia and industry communities to analyse the different aspects of HRI that
impact on its success. We particularly focus on AI techniques required to
implement autonomous and proactive interactions, on the factors that enhance,
undermine, or recover humans' acceptance and trust in robots, and on the
potential ethical and legal concerns related to the deployment of such robots
in human-centred environments.
  Website: https://sites.google.com/view/traits-hri-2022",98
"SO-SLAM: Semantic Object SLAM with Scale Proportional and Symmetrical
  Texture Constraints",Robotics,cs.RO,"Object SLAM introduces the concept of objects into Simultaneous Localization
and Mapping (SLAM) and helps understand indoor scenes for mobile robots and
object-level interactive applications. The state-of-art object SLAM systems
face challenges such as partial observations, occlusions, unobservable
problems, limiting the mapping accuracy and robustness. This paper proposes a
novel monocular Semantic Object SLAM (SO-SLAM) system that addresses the
introduction of object spatial constraints. We explore three representative
spatial constraints, including scale proportional constraint, symmetrical
texture constraint and plane supporting constraint. Based on these semantic
constraints, we propose two new methods - a more robust object initialization
method and an orientation fine optimization method. We have verified the
performance of the algorithm on the public datasets and an author-recorded
mobile robot dataset and achieved a significant improvement on mapping effects.
We will release the code here: https://github.com/XunshanMan/SoSLAM.",137
Path Planning of Cleaning Robot with Reinforcement Learning,Robotics,cs.RO,"Recently, as the demand for cleaning robots has steadily increased, therefore
household electricity consumption is also increasing. To solve this electricity
consumption issue, the problem of efficient path planning for cleaning robot
has become important and many studies have been conducted. However, most of
them are about moving along a simple path segment, not about the whole path to
clean all places. As the emerging deep learning technique, reinforcement
learning (RL) has been adopted for cleaning robot. However, the models for RL
operate only in a specific cleaning environment, not the various cleaning
environment. The problem is that the models have to retrain whenever the
cleaning environment changes. To solve this problem, the proximal policy
optimization (PPO) algorithm is combined with an efficient path planning that
operates in various cleaning environments, using transfer learning (TL),
detection nearest cleaned tile, reward shaping, and making elite set methods.
The proposed method is validated with an ablation study and comparison with
conventional methods such as random and zigzag. The experimental results
demonstrate that the proposed method achieves improved training performance and
increased convergence speed over the original PPO. And it also demonstrates
that this proposed method is better performance than conventional methods
(random, zigzag).",201
