price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,lat,long,sqft_above,sqft_basement,state
1028694,4,3.5,2701,6798,3.0,0,4,3,5,2017,2020.0,10022,46.35364803479336,-91.52683597398163,1788,912,CA
169423,1,3.5,2066,5913,1.0,0,1,3,9,1967,2001.0,11128,41.80735249321137,-111.3691744649515,2066,0,VA
214807,3,1.0,2722,6173,1.0,0,1,5,7,1921,0.0,89522,29.84079910314461,-80.87250107887311,2722,0,IA
209375,5,3.5,1105,10031,2.0,0,1,3,6,1923,0.0,42322,35.313889145816006,-106.35546934404891,1105,0,WI
262418,3,3.0,3424,-2170,1.5,1,2,2,6,1939,1972.0,58929,36.8570288064576,-71.43851444482361,3424,0,CO
293173,3,4.5,2697,2448,3.0,0,0,1,11,2008,2020.0,91696,26.325223042009736,-86.56680573196635,2697,0,GA
666895,1,4.5,2646,9444,1.5,0,2,1,7,1973,0.0,19808,47.91130032064134,-99.12798192469413,2646,0,NY
72059,1,2.0,882,10606,3.0,0,0,1,1,1965,0.0,62882,28.085854259125085,-78.97501590293781,484,397,MN
139906,1,4.5,3699,8832,3.0,0,4,1,4,1939,0.0,31725,41.739070413441446,-77.3788663153401,2155,1544,WV
163630,2,4.0,1986,9796,3.0,0,3,3,13,1905,1987.0,82534,37.149544866181124,-107.44254848029021,1986,0,KY
381608,4,4.0,2728,7954,1.5,0,4,3,1,2011,2011.0,49950,25.615173997226144,-104.63627100134319,2728,0,VA
117556,2,4.0,1677,9907,2.5,0,2,5,6,1917,0.0,98954,47.193939420744684,-70.6505562374696,1677,0,MD
227528,4,1.5,2260,12170,1.5,0,2,3,13,1980,0.0,93576,45.4440834116544,-114.6097608132935,2260,0,UT
50000,4,4.5,2297,12135,3.0,0,0,1,4,2001,0.0,30557,37.58219026969205,-121.59742623311276,1823,473,SD
50000,3,1.5,-819,6555,2.0,0,2,4,1,2008,0.0,31825,30.494616067346687,-98.11884661125569,-819,0,IA
142804,3,1.0,2582,14575,1.0,0,1,4,9,1986,0.0,18998,27.91894937632226,-78.33103568611315,2582,0,UT
279070,4,4.0,3965,10785,3.0,0,2,2,12,2009,2013.0,46080,33.721419506371035,-80.01491794028749,3965,0,VA
285593,4,3.5,2539,16161,2.0,0,0,2,4,1929,0.0,67797,31.13027874510617,-71.58675415196853,1772,767,MI
50515,2,1.5,1042,17164,2.5,0,0,3,12,2021,2022.0,25802,37.16058882415117,-93.60756213096471,550,491,WY
50000,2,3.5,2649,2786,3.0,0,1,4,6,1920,0.0,21167,48.1938231069623,-118.2963137207076,2649,0,CO
330319,3,3.5,3059,5704,2.0,0,0,1,13,1961,0.0,52407,38.7988838375114,-90.44472846284708,3059,0,AR
150181,1,4.5,2512,14067,3.0,1,3,1,7,1909,0.0,23338,46.35834534136235,-79.63144998186694,2512,0,MN
265314,4,2.0,1925,1675,1.5,0,4,1,8,2019,0.0,86289,40.621092099898654,-118.6802971446199,1925,0,UT
50000,2,4.0,1757,17100,2.0,0,2,3,12,2006,2007.0,81520,36.40591663809281,-114.15852813743739,1757,0,VT
61900,3,2.0,1753,8280,1.5,0,3,3,13,1912,0.0,28895,45.51058150560091,-123.29943231412676,1753,0,ME
338623,2,2.5,2697,12875,1.5,0,2,5,11,1975,1990.0,57910,36.31283464415194,-90.16180297153181,2288,409,VT
50000,4,4.0,592,9418,2.0,0,3,1,9,1908,0.0,75898,45.84707609224866,-73.45613965908345,592,0,NM
230017,4,4.0,1628,3038,1.0,0,2,1,9,1967,0.0,13454,31.997842469818366,-85.77219098788032,1628,0,UT
205267,5,2.0,3595,15277,2.0,0,1,3,8,1938,0.0,96540,28.091513770311714,-68.02371500731402,3595,0,AZ
